feature,target,spearman,n
gr_noise_std,last_rmse,0.06109891385557984,811
gr_noise_std,lin_rmse,0.04249493080860268,811
gr_noise_std,formula_rmse,0.04243252345506367,811
dtvt_std,last_rmse,0.024301567450448137,811
dtvt_std,lin_rmse,-0.01978803547095392,811
dtvt_std,formula_rmse,-0.03979060465616451,811
dtvt_p95,last_rmse,-0.01293861245545049,811
dtvt_p95,lin_rmse,0.01638264722883114,811
dtvt_p95,formula_rmse,-0.042959330166136234,811
dtvt_mean_abs,last_rmse,0.0843962943440355,811
dtvt_mean_abs,lin_rmse,0.06901580633832839,811
dtvt_mean_abs,formula_rmse,0.020170241141204175,811
b_well_resid_std,last_rmse,0.048861200781374264,811
b_well_resid_std,lin_rmse,0.05622376118366097,811
b_well_resid_std,formula_rmse,-0.019440048108105554,811
b_well_mean,last_rmse,-0.025692886979022896,811
b_well_mean,lin_rmse,-0.0530563292732558,811
b_well_mean,formula_rmse,-0.17637627449696724,811
b_well_drift_first_to_last,last_rmse,0.05984342493223565,811
b_well_drift_first_to_last,lin_rmse,0.00863040670894466,811
b_well_drift_first_to_last,formula_rmse,-0.005834618338760801,811
tw_gr_resid_std,last_rmse,0.011865676158028738,811
tw_gr_resid_std,lin_rmse,0.011495484015820963,811
tw_gr_resid_std,formula_rmse,0.04803845408841282,811
tw_gr_resid_mean_abs,last_rmse,0.012178207865081331,811
tw_gr_resid_mean_abs,lin_rmse,0.02918308684228465,811
tw_gr_resid_mean_abs,formula_rmse,-0.00503850515715562,811
tw_gr_resid_mean,last_rmse,-0.009063711968691036,811
tw_gr_resid_mean,lin_rmse,0.017875409815412368,811
tw_gr_resid_mean,formula_rmse,-0.01968445816176373,811
ar1_phi,last_rmse,-0.007169736528031903,811
ar1_phi,lin_rmse,-0.056489206160015244,811
ar1_phi,formula_rmse,0.049114834704877784,811
ar1_eps_std,last_rmse,0.009630597511039962,811
ar1_eps_std,lin_rmse,0.05536573881285196,811
ar1_eps_std,formula_rmse,-0.03321664013116793,811
gr_mean,last_rmse,0.0738695866288983,811
gr_mean,lin_rmse,0.011749477895220888,811
gr_mean,formula_rmse,-0.04808365105065503,811
gr_std,last_rmse,-0.01475072266770514,811
